Nombre;Codigo;descripcion;Stock;StockMinimo;PrecioUnitario;Observaciones;Rentabilidad;Iva;CostoInterno;CodigoProveedor;Deposito;CodigoBarra;Rubro;SubRubro;Tipo;PrecioAutomatico
CALZA FRIZADA DAMA ELEMENTO NEGRO TALLE 2;401N2;CALZA FRIZADA DAMA ELEMENTO NEGRO TALLE 2;3;;6450;;;21;3067,29;;Principal;;Deportivo;Elemento Ropa;;
CALZA FRIZADA DAMA ELEMENTO NEGRO TALLE 3;401N3;CALZA FRIZADA DAMA ELEMENTO NEGRO TALLE 3;3;;6450;;;21;3067,29;;Principal;;Deportivo;Elemento Ropa;;
PACK X 2 PARES DE MICROMEDIAS DE MICROFIBRA NEGRAS;422N;PACK X 2 PARES DE MICROMEDIAS DE MICROFIBRA NEGRAS;29;;630;;;21;240,99;;Principal;;Medias;Cocot;;
PACK X 2 PARES DE MICROMEDIAS DE MICROFIBRA PIEL;422P;PACK X 2 PARES DE MICROMEDIAS DE MICROFIBRA PIEL;36;;630;;;21;240,99;;Principal;;Medias;Cocot;;
PACK X 2 REMERAS BLANCAS CON  ESCOTE EN V EYELIT TALLE XL;4452BXL;PACK X 2 REMERAS BLANCAS CON  ESCOTE EN V EYELIT TALLE XL;3;;7820;;;21;3719,25;;Principal;;Remeras y camisetas;Eyelit;;
PACK X 2 REMERAS BLANCAS CON  ESCOTE EN V EYELIT TALLE XXL;4452BXXL;PACK X 2 REMERAS BLANCAS CON  ESCOTE EN V EYELIT TALLE XXL;3;;7820;;;21;3719,25;;Principal;;Remeras y camisetas;Eyelit;;
PACK X 2 REMERAS BLANCA Y NEGRA CON ESCOTE EN V EYELIT TALLE M;4452M;PACK X 2 REMERAS BLANCA Y NEGRA CON ESCOTE EN V EYELIT TALLE M;2;;7820;;;21;3719,25;;Principal;;Remeras y camisetas;Eyelit;;
PACK X 2 REMERAS NEGRAS CON  ESCOTE EN V EYELIT TALLE L;4452NL;PACK X 2 REMERAS NEGRAS CON  ESCOTE EN V EYELIT TALLE L;2;;7820;;;21;3719,25;;Principal;;Remeras y camisetas;Eyelit;;
PACK X 2 REMERAS NEGRAS CON  ESCOTE EN V EYELIT TALLE M;4452NM;PACK X 2 REMERAS NEGRAS CON  ESCOTE EN V EYELIT TALLE M;3;;7820;;;21;3719,25;;Principal;;Remeras y camisetas;Eyelit;;
PACK X 2 REMERAS BLANCA Y NEGRA CON ESCOTE EN V EYELIT TALLE S;4452S;PACK X 2 REMERAS BLANCA Y NEGRA CON ESCOTE EN V EYELIT TALLE S;3;;7820;;;21;3719,25;;Principal;;Remeras y camisetas;Eyelit;;
PACK X 2 REMERAS BLANCA Y NEGRA CON ESCOTE EN V EYELIT TALLE XL;4452XL;PACK X 2 REMERAS BLANCA Y NEGRA CON ESCOTE EN V EYELIT TALLE XL;7;;7820;;;21;3719,25;;Principal;;Remeras y camisetas;Eyelit;;
PACK X 2 REMERAS BLANCAS CON  ESCOTE REDONDO EYELIT TALLE XL;4482BXL;PACK X 2 REMERAS BLANCAS CON  ESCOTE REDONDO EYELIT TALLE XL;5;;7820;;;21;3719,25;;Principal;;Remeras y camisetas;Eyelit;;
PACK X 2 REMERAS BLANCAS CON  ESCOTE REDONDO EYELIT TALLE XXL;4482BXXL;PACK X 2 REMERAS BLANCAS CON  ESCOTE REDONDO EYELIT TALLE XXL;6;;7820;;;21;3719,25;;Principal;;Remeras y camisetas;Eyelit;;
PACK X 2 REMERAS BLANCA Y NEGRA CON ESCOTE REDONDO EYELIT TALLE L;4482L;PACK X 2 REMERAS BLANCA Y NEGRA CON ESCOTE REDONDO EYELIT TALLE L;2;;7820;;;21;3719,25;;Principal;;Remeras y camisetas;Eyelit;;
